StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Agreement,PoPGeneralQuestion_1,PoPGeneralQuestion_2,PoPGeneralQuestion_3,PoPGeneralQuestion_4,PoPGeneralQuestion_5,PoPGeneralQuestion_6,PoPGeneralQuestion_7,PoPGeneralQuestion_8,HotelWifiQuestion_1,HotelWifiQuestion_2,HotelWifiQuestion_3,HotelWifiQuestion_4,HotelWifiQuestion_5,HotelWifiQuestion_6,InflightWifiQuestion_1,InflightWifiQuestion_2,InflightWifiQuestion_3,InflightWifiQuestion_4,InflightWifiQuestion_5,InflightWifiQuestion_6,ParkingQuestion_1,ParkingQuestion_2,ParkingQuestion_3,ParkingQuestion_4,ParkingQuestion_5,ParkingQuestion_6,HotelBFquestion_1,HotelBFquestion_2,HotelBFquestion_3,HotelBFquestion_4,HotelBFquestion_5,HotelBFquestion_6,AppetizerQuestion_1,AppetizerQuestion_2,AppetizerQuestion_3,AppetizerQuestion_4,AppetizerQuestion_5,AppetizerQuestion_6,PrinterInkQuestion_1,PrinterInkQuestion_2,PrinterInkQuestion_3,PrinterInkQuestion_4,PrinterInkQuestion_5,PrinterInkQuestion_6,CargasQuestion_1,CargasQuestion_2,CargasQuestion_3,CargasQuestion_4,CargasQuestion_5,CargasQuestion_6,Fragrance_1,Fragrance_2,Fragrance_3,Fragrance_4,Fragrance_5,Fragrance_6,Attention_1,Attention_2,Attention_3,Attention_4,Attention_5,Age,Gender,Q24,PROLIFIC_PID,STUDY_ID,SESSION_ID
2026-06-22 06:33:04,2026-06-22 06:36:49,0,98.217.182.238,100,224,1,2026-06-22 06:36:49,R_5cAe3R5fJtHNxhE,,,,,42.8806,-71.3273,anonymous,EN,1,2,4,2,1,3,2,4,4,2,1,4,5,4,5,2,2,4,5,4,4,4,4,5,5,4,5,5,4,1,2,3,2,5,5,3,4,4,3,5,5,5,5,4,5,5,4,4,5,5,5,5,5,2,1,4,4,1,2,2,2,1,32,1,,60ed0e7149a025da16189d35,6a38c421cb373274341540ff,6a392b7849fa15d1a261d4a3
2026-06-22 06:32:50,2026-06-22 06:36:57,0,68.37.16.145,100,246,1,2026-06-22 06:36:57,R_6q9oE83aR2dOlcl,,,,,42.4658,-82.9033,anonymous,EN,1,1,2,2,2,4,1,1,3,1,1,4,3,4,5,1,1,4,4,5,5,1,1,5,5,5,5,5,5,2,4,1,2,5,5,1,2,1,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1,1,1,1,1,1,2,2,1,34,1,,69d660e8896dc7b4e972ce0d,6a38c421cb373274341540ff,6a392b6ad7fd4f4e49e3d470
2026-06-22 06:32:46,2026-06-22 06:37:03,0,12.6.66.2,100,256,1,2026-06-22 06:37:03,R_3aR650Ao0x6Y14R,,,,,41.1682,-81.2398,anonymous,EN,1,1,1,1,1,3,2,2,3,3,2,2,4,5,5,2,1,2,4,4,4,3,2,5,4,4,3,4,4,2,4,3,3,4,5,2,2,4,2,5,5,4,4,4,5,3,2,5,5,5,5,4,4,2,4,4,2,1,2,2,2,1,36,2,,69f21a9abdbf6edc07161972,6a38c421cb373274341540ff,6a392b67a82551e373b624dd
2026-06-22 06:33:15,2026-06-22 06:37:05,0,73.73.195.254,100,229,1,2026-06-22 06:37:05,R_5dou4QEPu2hB3FT,,,,,41.7265,-87.5593,anonymous,EN,1,2,1,1,1,1,2,3,3,3,1,2,2,3,4,2,1,2,3,5,4,4,4,5,5,5,5,4,4,2,1,3,4,4,4,1,1,1,1,3,4,4,5,5,5,4,4,5,5,5,5,3,4,1,2,1,3,1,2,2,2,1,22,2,,6365b9324ce52c4f38eed7a0,6a38c421cb373274341540ff,6a392b86322043193fec0cfb
2026-06-22 06:32:44,2026-06-22 06:37:07,0,68.39.238.227,100,263,1,2026-06-22 06:37:07,R_5rNqBc43Qw3VUnr,,,,,41.1954,-85.1177,anonymous,EN,1,1,1,1,2,3,1,3,5,1,1,1,1,5,5,1,1,1,3,5,5,4,4,4,5,5,5,5,5,1,1,2,1,5,5,1,1,1,1,5,5,3,5,5,5,5,5,5,5,5,5,5,5,1,1,2,1,1,2,2,2,1,51,1,,63225b65b2d6e889f7289909,6a38c421cb373274341540ff,6a392b66ae16cb4ca54790a5
2026-06-22 06:32:47,2026-06-22 06:37:10,0,66.215.45.50,100,263,1,2026-06-22 06:37:11,R_52mAN6wmIeUz0cf,,,,,33.9449,-117.3834,anonymous,EN,1,2,2,2,2,3,2,2,4,1,1,2,2,3,4,1,1,2,2,5,5,4,4,5,5,5,5,5,5,1,1,1,1,5,5,1,1,1,1,5,5,4,4,4,4,3,3,5,5,4,4,5,5,1,1,1,1,1,1,2,2,1,42,1,,5e3dff6b8714b707b9a258b0,6a38c421cb373274341540ff,6a392b6a2631b7f0437ad705
2026-06-22 06:32:37,2026-06-22 06:37:12,0,173.56.47.251,100,275,1,2026-06-22 06:37:12,R_6qC3GFDr0uMWpEn,,,,,40.6002,-74.1469,anonymous,EN,1,1,3,1,2,3,2,1,3,1,1,2,5,5,5,1,1,3,4,5,5,1,1,4,5,5,5,5,5,1,3,1,1,5,5,1,1,3,1,5,5,3,5,4,4,1,4,5,5,5,5,5,5,1,1,1,1,1,1,2,2,1,36,2,Thank you!,6a01f365eb168b5f79653ad8,6a38c421cb373274341540ff,6a392b5ac068a10516d7649e
2026-06-22 06:32:47,2026-06-22 06:37:21,0,65.187.29.224,100,274,1,2026-06-22 06:37:22,R_3jDSovJBJNWawtr,,,,,32.9747,-80.1864,anonymous,EN,1,3,4,1,1,5,3,1,3,1,1,1,2,4,5,1,1,1,1,2,4,4,4,5,5,5,5,5,5,1,1,1,1,5,5,1,1,1,1,5,5,4,5,5,5,4,2,5,5,5,5,5,5,1,1,1,1,1,1,2,2,1,53,2,,69e978a04e4e2177f525e59a,6a38c421cb373274341540ff,6a392b6621b4ff248efecadc
2026-06-22 06:33:23,2026-06-22 06:37:27,0,92.112.8.150,100,244,1,2026-06-22 06:37:27,R_67ka5S2OLtj4zgZ,,,,,30.4946,-88.4959,anonymous,EN,1,1,3,2,3,3,2,4,5,1,3,2,1,1,2,2,3,4,3,3,4,4,3,3,2,3,4,2,3,3,3,3,4,4,4,3,4,5,4,2,3,2,3,2,3,4,1,4,5,4,4,4,5,1,5,5,5,1,2,2,2,1,22,2,,69e631a6f3302bd030bbffc7,6a38c421cb373274341540ff,6a392b6ddb4ffaf87ff550b0
2026-06-22 06:33:26,2026-06-22 06:37:40,0,47.17.229.34,100,253,1,2026-06-22 06:37:40,R_6JiaLKTU6VZSSWJ,,,,,40.9476,-73.8624,anonymous,EN,1,1,1,2,1,4,2,3,4,1,1,2,2,5,5,1,1,5,5,5,5,2,2,5,5,5,5,5,5,2,2,4,3,5,5,1,1,1,1,5,5,4,4,5,5,4,5,5,5,5,5,5,5,1,1,2,2,1,2,2,2,1,38,2,,628d14b52b5bd1d83ed1f7d2,6a38c421cb373274341540ff,6a392b905e6b83482933e49d
2026-06-22 06:33:52,2026-06-22 06:37:43,0,97.184.205.163,100,230,1,2026-06-22 06:37:43,R_6EZlzaO3Q9L1SQN,,,,,39.8483,-86.2736,anonymous,EN,1,2,2,1,1,3,2,1,2,1,1,1,2,4,4,1,1,4,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,2,2,1,50,1,,662938ec62f9ac2aad645a17,6a38c421cb373274341540ff,6a392ba03cfe60a224006fcc
2026-06-22 06:32:33,2026-06-22 06:37:44,0,50.54.113.47,100,310,1,2026-06-22 06:37:45,R_7mJF4tYJ3p7USRo,,,,,41.0348,-82.0189,anonymous,EN,1,2,3,2,3,4,4,2,4,2,2,4,5,2,4,2,2,5,5,4,5,4,4,5,5,5,4,4,4,2,4,2,2,5,5,1,1,2,1,5,4,4,5,4,5,5,5,4,5,4,5,5,5,1,2,2,2,1,2,2,2,1,39,2,,69a270f93c16fbc1e20f78fc,6a38c421cb373274341540ff,6a392b589eb0b6979286c6c3
2026-06-22 06:35:00,2026-06-22 06:37:46,0,71.178.1.192,100,165,1,2026-06-22 06:37:46,R_72tcLpngwl62KHn,,,,,38.9091,-77.0203,anonymous,EN,1,1,1,3,2,4,1,3,3,2,4,4,4,5,5,2,1,2,2,5,5,4,4,5,5,5,4,5,4,1,1,1,2,5,5,1,1,1,1,4,4,5,5,5,4,4,4,5,5,5,5,4,4,1,1,1,1,1,2,2,2,1,32,1,,69e0d36932fc04a90f59964a,6a38c421cb373274341540ff,6a392bebb4eef37016e99f74
2026-06-22 06:34:54,2026-06-22 06:37:46,0,100.1.175.78,100,171,1,2026-06-22 06:37:46,R_3GCb8Lj9aVslDRD,,,,,40.7053,-74.0866,anonymous,EN,1,2,1,3,2,4,4,4,3,2,2,4,4,4,4,2,2,4,2,2,4,2,4,4,5,4,5,5,5,2,2,4,2,5,4,4,5,3,2,4,2,4,5,4,4,4,2,5,5,4,5,5,4,2,2,2,4,1,1,2,2,1,29,2,,5ec5a42a646f515ef0e3f68b,6a38c421cb373274341540ff,6a392be76e329638ae57f823
2026-06-22 06:33:11,2026-06-22 06:38:13,0,24.140.177.109,100,301,1,2026-06-22 06:38:13,R_7FS5xUVwmA84T7Z,,,,,40.8116,-81.4973,anonymous,EN,1,3,2,2,3,4,3,2,3,2,1,2,4,3,4,2,1,2,4,3,4,4,4,2,4,3,4,4,4,2,4,2,3,5,5,2,3,2,2,4,4,2,4,4,4,4,4,4,4,4,5,4,4,1,1,2,2,1,2,2,2,1,48,2,Thank you,673a79d52880fa454ca618e2,6a38c421cb373274341540ff,6a392b7e135a38346ffac2b8
2026-06-22 06:33:46,2026-06-22 06:38:13,0,24.44.107.92,100,266,1,2026-06-22 06:38:13,R_61htd3zA83aHl8w,,,,,40.5828,-73.9532,anonymous,EN,1,1,1,3,1,3,3,3,2,1,1,2,2,5,5,1,1,1,2,5,5,4,4,5,5,5,5,5,5,2,1,1,1,5,5,1,1,1,1,5,5,4,5,5,5,5,5,4,5,5,5,5,5,1,2,2,2,1,2,2,2,1,60,1,,5e06389719232d022f392c9a,6a38c421cb373274341540ff,6a392ba30a07dca66abe0fc6
2026-06-22 06:33:13,2026-06-22 06:38:14,0,24.253.61.134,100,300,1,2026-06-22 06:38:15,R_5CjtgZJ5R8wFoPP,,,,,36.0409,-115.0829,anonymous,EN,1,1,2,1,2,2,1,3,1,1,1,4,4,4,4,1,1,4,4,4,4,1,1,5,5,5,5,5,5,1,2,1,1,5,5,2,2,2,2,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,1,2,2,2,1,44,1,"I have no comments, thanks.",6272b9dfc470a51d5fa0e6ea,6a38c421cb373274341540ff,6a392b7df8970a3381959822
2026-06-22 06:32:51,2026-06-22 06:38:17,0,154.38.21.74,100,326,1,2026-06-22 06:38:17,R_3t7R5TN1ZMbuaZz,,,,,33.7485,-84.3871,anonymous,EN,1,2,2,2,3,2,2,3,4,2,2,4,4,4,4,4,2,2,4,2,2,2,2,3,3,2,2,4,4,2,4,2,2,4,4,2,2,2,2,4,4,4,4,2,4,2,3,4,4,4,4,2,2,4,4,2,3,1,2,2,2,1,37,2,,69fe06f13340ce466ab6bc93,6a38c421cb373274341540ff,6a392b69f5736d5bbdf864bb
2026-06-22 06:33:05,2026-06-22 06:38:18,0,212.111.221.248,100,312,1,2026-06-22 06:38:18,R_3irprC1n4JT60il,,,,,39.018,-77.539,anonymous,EN,1,5,2,3,4,4,3,5,5,4,5,5,5,5,4,4,4,5,5,5,4,3,4,4,5,4,5,4,4,4,4,5,5,4,4,2,2,4,5,5,4,5,5,4,4,4,5,5,5,5,4,5,5,5,4,4,5,1,2,2,2,1,31,2,,69ff0f13075a0029cfb45494,6a38c421cb373274341540ff,6a392b600fd52374474261ff
2026-06-22 06:32:48,2026-06-22 06:38:20,0,98.121.32.223,100,331,1,2026-06-22 06:38:20,R_73mtfmBdzO5mwKF,,,,,35.8692,-78.5348,anonymous,EN,1,4,4,2,4,4,5,5,3,3,3,4,5,5,5,3,3,2,4,5,2,5,5,5,5,5,5,5,5,2,2,3,2,5,5,2,2,2,2,5,5,4,5,5,5,2,1,4,5,5,2,5,5,1,2,2,2,1,2,2,2,1,59,2,Have a great day!,6680a001ac541835a7e00e4b,6a38c421cb373274341540ff,6a392b6873b83ebc74bfa7ff
2026-06-22 06:33:36,2026-06-22 06:38:22,0,168.182.90.202,100,285,1,2026-06-22 06:38:22,R_3fwwOCsDgO6MgwA,,,,,32.4413,-81.7711,anonymous,EN,1,1,3,2,5,5,4,3,4,1,1,2,3,4,5,1,1,2,4,5,5,2,2,5,5,5,5,5,5,1,1,1,2,5,5,1,1,1,1,5,5,5,5,5,5,4,3,5,5,5,5,5,5,1,2,2,2,1,1,2,2,1,69,2,,66805c7df9263b85683b62b2,6a38c421cb373274341540ff,6a392b6429ccb50b3dec0cff
