"item","f_neg_have_choice","f_makes_life_more_convenient","f_overpriced","f_expect_free","f_lasts_a_while","f_physical_product","f_worthless_alone","analysis","pair","r","df","p_value","term","Value","Std. Error"
"lasts_a_while",0.0313403181673101,-0.0194959618839728,-0.0148045882066929,-0.00955111227269282,0.988871188308368,0.0218200355465419,0.0112983815277228,"factor anaysis",,,,,,,
"businesses_give_away_free",-0.0164985195371071,-0.0514187306301194,-0.10581625521245,0.606114933566319,0.043490301740619,-0.0952876858610195,-0.0293164148271467,"factor anaysis",,,,,,,
"expect_free",-0.0351265412246538,-0.00112301103756306,0.00610992617920259,0.971554715292877,-0.0127133762700321,0.0289633766044123,0.00123883400794163,"factor anaysis",,,,,,,
"should_be_free",0.157626590444911,0.0221525077896574,0.0493537959222635,0.710396060307114,0.041797436277821,-0.0543211531457284,0.0175894942547802,"factor anaysis",,,,,,,
"saves_time",-0.0671962447861985,0.757061757295518,-0.167727345772889,0.0799581679345471,-0.0969645641227514,0.0135478776031141,0.0621852897952771,"factor anaysis",,,,,,,
"makes_life_easier",0.0966959679692616,0.83729137573903,0.0055573716580266,0.0183485689438437,0.0239314302640421,0.00876264027867448,-0.0462071421028177,"factor anaysis",,,,,,,
"makes_life_more_convenient",0.0102680792366633,0.942245189398373,0.0290356209186319,-0.0547880899405757,0.0291966989335981,-0.0231526459418057,0.00725489068576897,"factor anaysis",,,,,,,
,,,,,,,,"factor score correlations","painful_1_f_neg_have_choice",0.223,399,"p<.001",,,
,,,,,,,,"factor score correlations","painful_1_f_makes_life_more_convenient",-0.16,399,"p=0.001",,,
,,,,,,,,"factor score correlations","painful_1_f_overpriced",0.696,399,"p<.001",,,
,,,,,,,,"factor score correlations","painful_1_f_expect_free",0.235,399,"p<.001",,,
,,,,,,,,"factor score correlations","painful_1_f_lasts_a_while",-0.055,399,"p=0.27",,,
,,,,,,,,"factor score correlations","painful_1_f_physical_product",-0.24,399,"p<.001",,,
,,,,,,,,"factor score correlations","painful_1_f_worthless_alone",0.047,399,"p=0.346",,,
,,,,,,,,"factor score correlations","f_neg_have_choice_f_makes_life_more_convenient",0.359,399,"p<.001",,,
,,,,,,,,"factor score correlations","f_neg_have_choice_f_overpriced",0.133,399,"p=0.008",,,
,,,,,,,,"factor score correlations","f_neg_have_choice_f_expect_free",0.264,399,"p<.001",,,
,,,,,,,,"factor score correlations","f_neg_have_choice_f_lasts_a_while",0.113,399,"p=0.023",,,
,,,,,,,,"factor score correlations","f_neg_have_choice_f_physical_product",-0.225,399,"p<.001",,,
,,,,,,,,"factor score correlations","f_neg_have_choice_f_worthless_alone",0.116,399,"p=0.02",,,
,,,,,,,,"factor score correlations","f_makes_life_more_convenient_f_overpriced",-0.205,399,"p<.001",,,
,,,,,,,,"factor score correlations","f_makes_life_more_convenient_f_expect_free",0.139,399,"p=0.005",,,
,,,,,,,,"factor score correlations","f_makes_life_more_convenient_f_lasts_a_while",0.072,399,"p=0.15",,,
,,,,,,,,"factor score correlations","f_makes_life_more_convenient_f_physical_product",-0.06,399,"p=0.23",,,
,,,,,,,,"factor score correlations","f_makes_life_more_convenient_f_worthless_alone",-0.118,399,"p=0.018",,,
,,,,,,,,"factor score correlations","f_overpriced_f_expect_free",0.13,399,"p=0.009",,,
,,,,,,,,"factor score correlations","f_overpriced_f_lasts_a_while",-0.137,399,"p=0.006",,,
,,,,,,,,"factor score correlations","f_overpriced_f_physical_product",-0.155,399,"p=0.002",,,
,,,,,,,,"factor score correlations","f_overpriced_f_worthless_alone",0.084,399,"p=0.092",,,
,,,,,,,,"factor score correlations","f_expect_free_f_lasts_a_while",-0.03,399,"p=0.544",,,
,,,,,,,,"factor score correlations","f_expect_free_f_physical_product",-0.332,399,"p<.001",,,
,,,,,,,,"factor score correlations","f_expect_free_f_worthless_alone",0.287,399,"p<.001",,,
,,,,,,,,"factor score correlations","f_lasts_a_while_f_physical_product",0.078,399,"p=0.118",,,
,,,,,,,,"factor score correlations","f_lasts_a_while_f_worthless_alone",0.212,399,"p<.001",,,
,,,,,,,,"factor score correlations","f_physical_product_f_worthless_alone",-0.152,399,"p=0.002",,,
,,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.002","f_neg_have_choice",0.343,0.113
,,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_makes_life_more_convenient",-0.405,0.112
,,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_overpriced",2.263,0.165
,,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_expect_free",0.384,0.117
,,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.206","f_lasts_a_while",0.131,0.104
,,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.006","f_physical_product",-0.287,0.104
,,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.029","f_worthless_alone",-0.251,0.115
,,,,,,,,"ordinal logistic regression, person REs",,,,,"McFadden's pseudo-R2",0.186,
