"item","f_neg_have_choice","f_expect_free","f_lasts_a_while","f_physical_product","f_worthless_alone","f_overpriced","analysis","pair","r","df","p_value","term","Value","Std. Error"
,,,,,,,"factor score correlations","f_expect_free_value_1",0.003,399,"p=0.959",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_physical_product",0.073,399,"p=0.142",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_worthless_alone",0.203,399,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_a_while_f_overpriced",-0.142,399,"p=0.005",,,
,,,,,,,"factor score correlations","f_lasts_a_while_ln_typ_charge",0.278,399,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_a_while_ln_disutility",0.099,399,"p=0.048",,,
,,,,,,,"factor score correlations","f_lasts_a_while_like_1",-0.028,399,"p=0.575",,,
,,,,,,,"factor score correlations","f_lasts_a_while_value_1",0.306,399,"p<.001",,,
,,,,,,,"factor score correlations","f_physical_product_f_worthless_alone",-0.152,399,"p=0.002",,,
,,,,,,,"factor score correlations","f_physical_product_f_overpriced",-0.163,399,"p=0.001",,,
,,,,,,,"factor score correlations","f_physical_product_ln_typ_charge",-0.09,399,"p=0.073",,,
,,,,,,,"factor score correlations","f_physical_product_ln_disutility",-0.154,399,"p=0.002",,,
,,,,,,,"factor score correlations","f_physical_product_like_1",0.186,399,"p<.001",,,
,,,,,,,"factor score correlations","f_physical_product_value_1",0.04,399,"p=0.423",,,
,,,,,,,"factor score correlations","f_worthless_alone_f_overpriced",0.067,399,"p=0.183",,,
,,,,,,,"factor score correlations","f_worthless_alone_ln_typ_charge",-0.021,399,"p=0.672",,,
,,,,,,,"factor score correlations","f_worthless_alone_ln_disutility",0.029,399,"p=0.566",,,
,,,,,,,"factor score correlations","f_worthless_alone_like_1",-0.115,399,"p=0.021",,,
,,,,,,,"factor score correlations","f_worthless_alone_value_1",0.014,399,"p=0.784",,,
,,,,,,,"factor score correlations","f_overpriced_ln_typ_charge",0.474,399,"p<.001",,,
,,,,,,,"factor score correlations","f_overpriced_ln_disutility",0.553,399,"p<.001",,,
,,,,,,,"factor score correlations","f_overpriced_like_1",-0.35,399,"p<.001",,,
,,,,,,,"factor score correlations","f_overpriced_value_1",-0.373,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_typ_charge_ln_disutility",0.752,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_typ_charge_like_1",-0.289,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_typ_charge_value_1",-0.046,399,"p=0.356",,,
,,,,,,,"factor score correlations","ln_disutility_like_1",-0.411,399,"p<.001",,,
,,,,,,,"factor score correlations","ln_disutility_value_1",-0.26,399,"p<.001",,,
,,,,,,,"factor score correlations","like_1_value_1",0.476,399,"p<.001",,,
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.125","f_neg_have_choice",0.181,0.118
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_expect_free",0.418,0.12
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.708","f_lasts_a_while",0.042,0.113
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.098","f_physical_product",-0.18,0.109
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.065","f_worthless_alone",-0.217,0.118
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","f_overpriced",1.87,0.17
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","ln_disutility",0.306,0.059
,,,,,,,"ordinal logistic regression, person REs",,,,"p<.001","like_1",-0.3,0.066
,,,,,,,"ordinal logistic regression, person REs",,,,"p=0.01","value_1",-0.207,0.08
,,,,,,,"ordinal logistic regression, person REs",,,,,"McFadden's pseudo-R2",0.224,
