"item","f_unavoidable_req","f_expect_free","f_physical_product","f_expensive","f_worthless_alone","f_lasts_awhile","analysis","pair","r","df","p_value","term","Value","Std. Error"
,,,,,,,"factor score correlations","f_expect_free_f_lasts_awhile",-0.216,401,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_ln_typ_charge",-0.419,401,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_ln_disutility",-0.197,401,"p<.001",,,
,,,,,,,"factor score correlations","f_expect_free_purchased",-0.056,401,"p=0.265",,,
,,,,,,,"factor score correlations","f_expect_free_value_1",-0.061,401,"p=0.219",,,
,,,,,,,"factor score correlations","f_physical_product_f_expensive",-0.011,401,"p=0.821",,,
,,,,,,,"factor score correlations","f_physical_product_f_worthless_alone",-0.312,401,"p<.001",,,
,,,,,,,"factor score correlations","f_physical_product_f_lasts_awhile",0.263,401,"p<.001",,,
,,,,,,,"factor score correlations","f_physical_product_ln_typ_charge",0.253,401,"p<.001",,,
,,,,,,,"factor score correlations","f_physical_product_ln_disutility",0.084,401,"p=0.093",,,
,,,,,,,"factor score correlations","f_physical_product_purchased",0.006,401,"p=0.899",,,
,,,,,,,"factor score correlations","f_physical_product_value_1",0.038,401,"p=0.441",,,
,,,,,,,"factor score correlations","f_expensive_f_worthless_alone",0.144,401,"p=0.004",,,
,,,,,,,"factor score correlations","f_expensive_f_lasts_awhile",-0.012,401,"p=0.804",,,
,,,,,,,"factor score correlations","f_expensive_ln_typ_charge",0.468,401,"p<.001",,,
,,,,,,,"factor score correlations","f_expensive_ln_disutility",0.554,401,"p<.001",,,
,,,,,,,"factor score correlations","f_expensive_purchased",-0.087,401,"p=0.08",,,
,,,,,,,"factor score correlations","f_expensive_value_1",-0.137,401,"p=0.006",,,
,,,,,,,"factor score correlations","f_worthless_alone_f_lasts_awhile",0.007,401,"p=0.896",,,
,,,,,,,"factor score correlations","f_worthless_alone_ln_typ_charge",-0.099,401,"p=0.046",,,
,,,,,,,"factor score correlations","f_worthless_alone_ln_disutility",0.008,401,"p=0.876",,,
,,,,,,,"factor score correlations","f_worthless_alone_purchased",-0.014,401,"p=0.778",,,
,,,,,,,"factor score correlations","f_worthless_alone_value_1",0.094,401,"p=0.06",,,
,,,,,,,"factor score correlations","f_lasts_awhile_ln_typ_charge",0.451,401,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_awhile_ln_disutility",0.254,401,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_awhile_purchased",-0.234,401,"p<.001",,,
,,,,,,,"factor score correlations","f_lasts_awhile_value_1",0.351,401,"p<.001",,,
,,,,,,,"factor score correlations","ln_typ_charge_ln_disutility",0.769,401,"p<.001",,,
,,,,,,,"factor score correlations","ln_typ_charge_purchased",-0.243,401,"p<.001",,,
,,,,,,,"factor score correlations","ln_typ_charge_value_1",0.23,401,"p<.001",,,
,,,,,,,"factor score correlations","ln_disutility_purchased",-0.177,401,"p<.001",,,
,,,,,,,"factor score correlations","ln_disutility_value_1",0.055,401,"p=0.267",,,
,,,,,,,"factor score correlations","purchased_value_1",0.075,401,"p=0.134",,,
,,,,,,,"Ordinal logistic regression with random per-person intercepts",,,,"p<.001","f_unavoidable_req",0.443,0.131
,,,,,,,"Ordinal logistic regression with random per-person intercepts",,,,"p=0.84","f_expect_free",-0.017,0.085
,,,,,,,"Ordinal logistic regression with random per-person intercepts",,,,"p<.001","f_physical_product",-0.201,0.045
,,,,,,,"Ordinal logistic regression with random per-person intercepts",,,,"p<.001","f_expensive",0.89,0.087
,,,,,,,"Ordinal logistic regression with random per-person intercepts",,,,"p=0.017","f_worthless_alone",0.118,0.05
,,,,,,,"Ordinal logistic regression with random per-person intercepts",,,,"p=0.051","f_lasts_awhile",-0.099,0.051
,,,,,,,"Ordinal logistic regression with random per-person intercepts",,,,"p=0.011","value_1",-0.183,0.072
,,,,,,,"Ordinal logistic regression with random per-person intercepts",,,,"p=0.342","purchased",-0.192,0.202
,,,,,,,"Ordinal logistic regression with random per-person intercepts",,,,"p<.001","ln_disutility",0.339,0.069
,,,,,,,"Ordinal logistic regression with random per-person intercepts",,,,,"mcfadden_r2",0.168,
